timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-09-05,248.23,249.03,245.45,248.53,248.53,3147478,0.0000,1.0
2025-09-04,245.42,249.28,242.85,247.18,247.18,4765087,0.0000,1.0
2025-09-03,240.02,244.25,239.41,244.1,244.1,3156289,0.0000,1.0
2025-09-02,240.9,241.55,238.25,241.5,241.5,3469501,0.0000,1.0
2025-08-29,245.23,245.4599,241.72,243.49,243.49,2967558,0.0000,1.0
2025-08-28,245.43,245.88,243.36,245.73,245.73,2820817,0.0000,1.0
2025-08-27,242.87,245.96,242.0,244.84,244.84,3698372,0.0000,1.0
2025-08-26,241.02,244.98,240.38,242.63,242.63,5386582,0.0000,1.0
2025-08-25,242.565,242.565,239.43,239.43,239.43,3513327,0.0000,1.0
2025-08-22,240.74,243.68,240.22,242.09,242.09,3134882,0.0000,1.0
2025-08-21,242.21,242.5,238.65,239.4,239.4,2991902,0.0000,1.0
2025-08-20,242.11,242.88,240.34,242.55,242.55,3240064,0.0000,1.0
2025-08-19,240.0,242.83,239.49,241.28,241.28,3328305,0.0000,1.0
2025-08-18,239.57,241.42,239.1158,239.45,239.45,3569594,0.0000,1.0
2025-08-15,237.61,240.62,236.77,239.72,239.72,4344322,0.0000,1.0
2025-08-14,238.25,239.0,235.62,237.11,237.11,4556725,0.0000,1.0
2025-08-13,236.2,240.8411,236.2,240.07,240.07,5663562,0.0000,1.0
2025-08-12,236.53,237.96,233.36,234.77,234.77,8800597,0.0000,1.0
2025-08-11,242.24,243.15,234.7,236.3,236.3,9381960,0.0000,1.0
2025-08-08,248.88,249.48,241.65,242.27,242.27,6828390,1.6800,1.0
2025-08-07,252.81,255.0,248.875,250.16,248.437233859397,6251285,0.0000,1.0
2025-08-06,251.53,254.32,249.28,252.28,250.542634146341,3692105,0.0000,1.0
2025-08-05,252.0,252.8,248.995,250.67,248.943721664275,5823016,0.0000,1.0
2025-08-04,251.05,252.08,248.11,251.98,250.244700143472,5280588,0.0000,1.0
2025-08-01,251.405,251.4791,245.61,250.05,248.327991391679,9683404,0.0000,1.0
2025-07-31,259.57,259.99,252.22,253.15,251.406642754663,6739092,0.0000,1.0
2025-07-30,261.6,262.0,258.9,260.26,258.467678622669,3718290,0.0000,1.0
2025-07-29,264.3,265.7999,261.02,262.41,260.6028723099,4627265,0.0000,1.0
2025-07-28,260.3,264.0,259.61,263.21,261.397362984218,5192516,0.0000,1.0
2025-07-25,260.02,260.8,256.35,259.72,257.931397417504,7758653,0.0000,1.0
2025-07-24,261.25,262.0486,252.75,260.51,258.715956958393,22647720,0.0000,1.0
2025-07-23,284.3,288.08,281.44,282.01,280.067893830703,8105906,0.0000,1.0
2025-07-22,284.74,284.88,281.25,281.96,280.018238163558,4824219,0.0000,1.0
2025-07-21,286.29,287.73,284.38,284.71,282.749299856528,3051791,0.0000,1.0
2025-07-18,283.38,287.16,282.22,285.87,283.90131133429,4478165,0.0000,1.0
2025-07-17,281.5,283.4566,280.9,282.0,280.057962697274,3337168,0.0000,1.0
2025-07-16,282.75,283.87,279.87,281.92,279.978513629842,2804831,0.0000,1.0
2025-07-15,283.77,284.155,280.7301,282.7,280.753142037303,2864106,0.0000,1.0
2025-07-14,282.83,284.925,281.71,283.79,281.835635581062,2857401,0.0000,1.0
2025-07-11,285.01,287.43,282.92,283.59,281.637012912482,3790679,0.0000,1.0
2025-07-10,288.9,288.9,282.21,287.43,285.450568149211,3489068,0.0000,1.0
2025-07-09,291.39,291.6,288.63,290.14,288.141905308465,2971309,0.0000,1.0
2025-07-08,293.1,295.61,289.49,290.42,288.419977044476,2925329,0.0000,1.0
2025-07-07,292.5,295.2199,290.3607,292.47,290.455859397418,4488064,0.0000,1.0
2025-07-03,287.94,292.32,287.9,291.97,289.959302725968,1853289,0.0000,1.0
2025-07-02,290.0,290.19,286.9,287.65,285.669053084648,3257515,0.0000,1.0
2025-07-01,294.55,295.1081,290.08,291.2,289.194605451937,3272797,0.0000,1.0
2025-06-30,290.93,294.81,290.0,294.78,292.749951219512,3495386,0.0000,1.0
2025-06-27,292.97,293.12,288.52,289.7,287.70493543759,3562501,0.0000,1.0
2025-06-26,291.8,292.91,290.165,291.93,289.919578192253,3621110,0.0000,1.0
2025-06-25,294.49,296.16,289.5,291.06,289.055569583931,3862309,0.0000,1.0
2025-06-24,290.46,294.3399,288.41,293.79,291.766769010043,4219120,0.0000,1.0
2025-06-23,281.65,289.58,280.21,289.18,287.188516499283,3786159,0.0000,1.0
2025-06-20,279.28,284.12,277.2,280.97,279.035055954089,7676962,0.0000,1.0
2025-06-18,285.0,286.91,282.94,283.21,281.259629842181,3534110,0.0000,1.0
2025-06-17,281.15,284.7899,281.0001,283.05,281.100731707317,3069556,0.0000,1.0
2025-06-16,279.305,284.5,278.6657,281.83,279.889133428981,3685321,0.0000,1.0
2025-06-13,278.205,279.84,275.83,277.22,275.310880918221,3243824,0.0000,1.0
2025-06-12,281.53,283.06,279.83,281.03,279.094642754663,3418007,0.0000,1.0
2025-06-11,276.7,281.75,275.11,281.52,279.581268292683,4656034,0.0000,1.0
2025-06-10,273.19,277.47,272.56,276.24,274.337629842181,5163507,0.0000,1.0
2025-06-09,268.1,273.47,266.71,272.08,270.206278335725,4331464,0.0000,1.0
2025-06-06,267.99,270.17,267.53,268.87,267.018384505022,2495543,0.0000,1.0
2025-06-05,265.2,267.51,265.1,266.86,265.022226685796,2659478,0.0000,1.0
2025-06-04,264.9,267.0,264.79,265.52,263.691454806313,2588741,0.0000,1.0
2025-06-03,263.35,265.56,262.58,265.2,263.373658536585,2494922,0.0000,1.0
2025-06-02,257.85,263.976,257.22,263.9,262.082611190818,2831881,0.0000,1.0
2025-05-30,258.75,260.12,257.1,259.06,257.275942611191,9668923,0.0000,1.0
2025-05-29,260.75,261.13,256.77,258.69,256.908490674319,2295228,0.0000,1.0
2025-05-28,263.16,265.0,259.94,260.24,258.447816355811,2318437,0.0000,1.0
2025-05-27,261.0,263.7869,259.63,263.23,261.417225251076,3284216,0.0000,1.0
2025-05-23,258.58,259.8696,255.79,258.63,256.848903873745,2722721,0.0000,1.0
2025-05-22,260.77,261.2711,257.91,258.37,256.590694404591,3091253,0.0000,1.0
2025-05-21,264.97,265.6499,260.41,260.87,259.073477761836,3753904,0.0000,1.0
2025-05-20,267.4,269.28,265.6201,266.95,265.111606886657,2437860,0.0000,1.0
2025-05-19,265.45,269.135,265.08,268.41,266.561552367288,3198903,0.0000,1.0
2025-05-16,266.35,267.98,264.59,266.76,264.922915351506,3817937,0.0000,1.0
2025-05-15,259.01,267.43,258.61,266.68,264.843466284075,4856276,0.0000,1.0
2025-05-14,257.6,260.55,256.22,257.82,256.044482065997,3635124,0.0000,1.0
2025-05-13,254.43,259.58,252.88,258.59,256.809179340029,3521389,0.0000,1.0
2025-05-12,252.5,253.81,244.65,253.69,251.942923959828,4609520,0.0000,1.0
2025-05-09,252.51,253.0,247.64,249.2,247.483845050215,2901346,1.6800,1.0
2025-05-08,255.0,256.52,253.25,254.14,250.699714529104,3637012,0.0000,1.0
2025-05-07,249.45,254.47,248.832,253.37,249.940137995747,3400001,0.0000,1.0
2025-05-06,247.76,250.19,246.11,249.12,245.747670116827,2900556,0.0000,1.0
2025-05-05,243.74,249.8,243.64,249.18,245.806857898647,4138168,0.0000,1.0
2025-05-02,243.125,245.69,241.33,245.55,242.225997098534,3731946,0.0000,1.0
2025-05-01,241.44,242.37,237.945,239.66,236.415729849867,4243294,0.0000,1.0
2025-04-30,236.73,242.47,234.3401,241.82,238.546489995388,5142993,0.0000,1.0
2025-04-29,237.0,239.98,236.14,239.39,236.149384831677,3426508,0.0000,1.0
2025-04-28,232.86,236.63,232.07,236.16,232.963109243697,3653461,0.0000,1.0
2025-04-25,228.95,233.36,226.32,232.41,229.263872879945,6700068,0.0000,1.0
2025-04-24,231.175,232.78,224.4401,229.33,226.225566746516,15428144,0.0000,1.0
2025-04-23,246.0,249.34,243.66,245.48,242.156944686411,7948259,0.0000,1.0
2025-04-22,238.5,242.64,238.02,240.9,237.638944007481,4232658,0.0000,1.0
2025-04-21,238.065,240.805,232.93,236.22,233.022297025517,4908923,0.0000,1.0
2025-04-17,239.68,241.775,237.4,238.81,235.577236274083,4635204,0.0000,1.0
2025-04-16,240.28,243.2999,235.89,238.57,235.340485146803,4870299,0.0000,1.0
2025-04-15,239.55,241.53,238.27,240.7,237.441651401414,3363708,0.0000,1.0
2025-04-14,239.77,241.77,236.73,239.06,235.823852031666,3321717,0.0000,1.0
